"Log Details","Log Details"
"Status","Status"
"Action","Action"
"Klarna ID","Klarna ID"
"Based on the context it can be the Klarna session or Klarna order ID.","Based on the context it can be the Klarna session or Klarna order ID."
"Increment ID","Increment ID"
"Url","Url"
"Method","Method"
"Service","Service"
"Created at","Created at"
"Request","Request"
"Response","Response"
"Log ID","Log ID"
"Status","Status"
"Action","Action"
"Logging general information","Logging general information"
"Logging general information to a logging text file. Should not be enabled in production. Sensitive information is logged.","Logging general information to a logging text file. Should not be enabled in production. Sensitive information is logged."
"Logging API requests to the database","Logging API requests to the database"
"When disabled no API requests are logged.","When disabled no API requests are logged."
"API request log lifetime (days)","API request log lifetime (days)"
"The value is needed for a cronjob to clear the respective Klarna api request logging database table. It is indicated in days.","The value is needed for a cronjob to clear the respective Klarna api request logging database table. It is indicated in days."
